"Time","kWh.last"
2022-06-07 02:00:00,
2022-06-08 02:00:00,
2022-06-09 02:00:00,
2022-06-10 02:00:00,
2022-06-11 02:00:00,
2022-06-12 02:00:00,
2022-06-13 02:00:00,
2022-06-14 02:00:00,
2022-06-15 02:00:00,
2022-06-16 02:00:00,
2022-06-17 02:00:00,
2022-06-18 02:00:00,
2022-06-19 02:00:00,
2022-06-20 02:00:00,
2022-06-21 02:00:00,
2022-06-22 02:00:00,
2022-06-23 02:00:00,
2022-06-24 02:00:00,
2022-06-25 02:00:00,
2022-06-26 02:00:00,
2022-06-27 02:00:00,
2022-06-28 02:00:00,
2022-06-29 02:00:00,
2022-06-30 02:00:00,
2022-07-01 02:00:00,
2022-07-02 02:00:00,
2022-07-03 02:00:00,
2022-07-04 02:00:00,
2022-07-05 02:00:00,
2022-07-06 02:00:00,
2022-07-07 02:00:00,
2022-07-08 02:00:00,
2022-07-09 02:00:00,
2022-07-10 02:00:00,
2022-07-11 02:00:00,
2022-07-12 02:00:00,
2022-07-13 02:00:00,
2022-07-14 02:00:00,
2022-07-15 02:00:00,
2022-07-16 02:00:00,
2022-07-17 02:00:00,
2022-07-18 02:00:00,
2022-07-19 02:00:00,
2022-07-20 02:00:00,
2022-07-21 02:00:00,
2022-07-22 02:00:00,
2022-07-23 02:00:00,
2022-07-24 02:00:00,
2022-07-25 02:00:00,
2022-07-26 02:00:00,
2022-07-27 02:00:00,
2022-07-28 02:00:00,
2022-07-29 02:00:00,
2022-07-30 02:00:00,
2022-07-31 02:00:00,
2022-08-01 02:00:00,
2022-08-02 02:00:00,
2022-08-03 02:00:00,
2022-08-04 02:00:00,
2022-08-05 02:00:00,
2022-08-06 02:00:00,
2022-08-07 02:00:00,
2022-08-08 02:00:00,
2022-08-09 02:00:00,
2022-08-10 02:00:00,
2022-08-11 02:00:00,
2022-08-12 02:00:00,
2022-08-13 02:00:00,
2022-08-14 02:00:00,
2022-08-15 02:00:00,
2022-08-16 02:00:00,
2022-08-17 02:00:00,
2022-08-18 02:00:00,
2022-08-19 02:00:00,
2022-08-20 02:00:00,
2022-08-21 02:00:00,
2022-08-22 02:00:00,
2022-08-23 02:00:00,
2022-08-24 02:00:00,
2022-08-25 02:00:00,
2022-08-26 02:00:00,
2022-08-27 02:00:00,
2022-08-28 02:00:00,
2022-08-29 02:00:00,
2022-08-30 02:00:00,
2022-08-31 02:00:00,
2022-09-01 02:00:00,
2022-09-02 02:00:00,
2022-09-03 02:00:00,
2022-09-04 02:00:00,
2022-09-05 02:00:00,
2022-09-06 02:00:00,
2022-09-07 02:00:00,
2022-09-08 02:00:00,
2022-09-09 02:00:00,
2022-09-10 02:00:00,
2022-09-11 02:00:00,
2022-09-12 02:00:00,
2022-09-13 02:00:00,
2022-09-14 02:00:00,
2022-09-15 02:00:00,
2022-09-16 02:00:00,
2022-09-17 02:00:00,
2022-09-18 02:00:00,
2022-09-19 02:00:00,
2022-09-20 02:00:00,
2022-09-21 02:00:00,
2022-09-22 02:00:00,
2022-09-23 02:00:00,
2022-09-24 02:00:00,
2022-09-25 02:00:00,
2022-09-26 02:00:00,
2022-09-27 02:00:00,
2022-09-28 02:00:00,
2022-09-29 02:00:00,
2022-09-30 02:00:00,
2022-10-01 02:00:00,
2022-10-02 02:00:00,
2022-10-03 02:00:00,
2022-10-04 02:00:00,
2022-10-05 02:00:00,
2022-10-06 02:00:00,
2022-10-07 02:00:00,
2022-10-08 02:00:00,
2022-10-09 02:00:00,
2022-10-10 02:00:00,2.71
2022-10-11 02:00:00,20.32
2022-10-12 02:00:00,29.76
2022-10-13 02:00:00,31.00
2022-10-14 02:00:00,32.68
2022-10-15 02:00:00,32.75
2022-10-16 02:00:00,32.83
2022-10-17 02:00:00,32.90
2022-10-18 02:00:00,32.97
2022-10-19 02:00:00,33.04
2022-10-20 02:00:00,38.37
2022-10-21 02:00:00,44.18
2022-10-22 02:00:00,48.45
2022-10-23 02:00:00,48.52
2022-10-24 02:00:00,57.09
2022-10-25 02:00:00,65.85
2022-10-26 02:00:00,75.04
2022-10-27 02:00:00,88.91
2022-10-28 02:00:00,98.90
2022-10-29 02:00:00,108.45
2022-10-30 02:00:00,112.54
2022-10-31 01:00:00,124.23
2022-11-01 01:00:00,128.54
2022-11-02 01:00:00,136.23
2022-11-03 01:00:00,136.30
2022-11-04 01:00:00,136.37
2022-11-05 01:00:00,136.44
2022-11-06 01:00:00,136.51
2022-11-07 01:00:00,136.56
2022-11-08 01:00:00,136.65
2022-11-09 01:00:00,136.72
2022-11-10 01:00:00,144.22
2022-11-11 01:00:00,151.13
2022-11-12 01:00:00,151.20
2022-11-13 01:00:00,161.54
2022-11-14 01:00:00,167.34
2022-11-15 01:00:00,167.40
2022-11-16 01:00:00,171.29
2022-11-17 01:00:00,183.87
2022-11-18 01:00:00,186.41
2022-11-19 01:00:00,192.35
2022-11-20 01:00:00,192.42
2022-11-21 01:00:00,195.71
2022-11-22 01:00:00,195.78
2022-11-23 01:00:00,197.35
2022-11-24 01:00:00,217.01
2022-11-25 01:00:00,228.43
2022-11-26 01:00:00,233.95
2022-11-27 01:00:00,234.02
2022-11-28 01:00:00,244.42
2022-11-29 01:00:00,255.57
2022-11-30 01:00:00,266.92
2022-12-01 01:00:00,278.11
2022-12-02 01:00:00,298.72
2022-12-03 01:00:00,333.73
2022-12-04 01:00:00,339.64
2022-12-05 01:00:00,347.48
2022-12-06 01:00:00,347.55
2022-12-07 01:00:00,347.61

